2017-02-12 23:33:35,225 - ___log_ - INFO - Start handling; /Users/JerryHan88/PycharmProjects/taxi_projects/community_analysis/data/tfZ_TP/tfZ_TP-2009-0.csv
2017-02-12 23:40:10,063 - ___log_ - INFO - Doing regression 0.28; 2010-10
2017-02-12 23:40:13,840 - ___log_ - INFO - Doing regression 0.71; 2011-11
2017-02-12 23:40:15,133 - ___log_ - INFO - Doing regression 0.10; 2012-11
2017-02-12 23:40:19,333 - ___log_ - INFO - Doing regression 0.82; 2011-11
2017-02-12 23:40:20,357 - ___log_ - INFO - Doing regression 0.37; 2010-10
2017-02-12 23:40:20,913 - ___log_ - INFO - Doing regression 0.21; 2012-11
2017-02-12 23:40:22,935 - ___log_ - INFO - Doing regression 0.88; 2009-10
2017-02-12 23:40:24,375 - ___log_ - INFO - Doing regression 0.92; 2011-11
2017-02-12 23:40:27,209 - ___log_ - INFO - Doing regression 0.47; 2010-10
2017-02-12 23:40:27,602 - ___log_ - INFO - Doing regression 0.31; 2012-11
2017-02-12 23:40:28,256 - ___log_ - INFO - Start pickling; 2011-11
2017-02-12 23:40:28,403 - ___log_ - INFO - Start handling; /Users/JerryHan88/PycharmProjects/taxi_projects/community_analysis/data/tfZ_TP/tfZ_TP-2011-12.csv
2017-02-12 23:40:28,403 - ___log_ - INFO - Start loading; 2011-12
2017-02-12 23:40:28,734 - ___log_ - INFO - Doing regression 0.98; 2009-10
2017-02-12 23:40:30,150 - ___log_ - INFO - Start pickling; 2009-10
2017-02-12 23:40:30,382 - ___log_ - INFO - Start handling; /Users/JerryHan88/PycharmProjects/taxi_projects/community_analysis/data/tfZ_TP/tfZ_TP-2009-11.csv
2017-02-12 23:40:30,382 - ___log_ - INFO - Start loading; 2009-11
2017-02-12 23:40:34,406 - ___log_ - INFO - Doing regression 0.42; 2012-11
2017-02-12 23:40:35,470 - ___log_ - INFO - Doing regression 0.56; 2010-10
2017-02-12 23:40:38,768 - ___log_ - INFO - Doing regression 0.52; 2012-11
2017-02-12 23:40:40,482 - ___log_ - INFO - Doing regression 0.65; 2010-10
2017-02-12 23:40:44,191 - ___log_ - INFO - Doing regression 0.62; 2012-11
2017-02-12 23:40:46,532 - ___log_ - INFO - Doing regression 0.75; 2010-10
2017-02-12 23:40:49,958 - ___log_ - INFO - Doing regression 0.73; 2012-11
2017-02-12 23:40:55,520 - ___log_ - INFO - Doing regression 0.83; 2012-11
2017-02-12 23:40:56,651 - ___log_ - INFO - Doing regression 0.84; 2010-10
2017-02-12 23:40:57,889 - ___log_ - INFO - Doing regression 0.00; 2011-12
2017-02-12 23:41:03,018 - ___log_ - INFO - Doing regression 0.94; 2012-11
2017-02-12 23:41:03,392 - ___log_ - INFO - Doing regression 0.10; 2011-12
2017-02-12 23:41:06,054 - ___log_ - INFO - Doing regression 0.93; 2010-10
2017-02-12 23:41:07,929 - ___log_ - INFO - Start pickling; 2012-11
2017-02-12 23:41:08,193 - ___log_ - INFO - Start handling; /Users/JerryHan88/PycharmProjects/taxi_projects/community_analysis/data/tfZ_TP/tfZ_TP-2012-12.csv
2017-02-12 23:41:08,193 - ___log_ - INFO - Start loading; 2012-12
2017-02-12 23:41:09,422 - ___log_ - INFO - Doing regression 0.20; 2011-12
2017-02-12 23:41:09,986 - ___log_ - INFO - Start pickling; 2010-10
2017-02-12 23:41:10,250 - ___log_ - INFO - Start handling; /Users/JerryHan88/PycharmProjects/taxi_projects/community_analysis/data/tfZ_TP/tfZ_TP-2010-11.csv
2017-02-12 23:41:10,256 - ___log_ - INFO - Start loading; 2010-11
2017-02-12 23:41:13,420 - ___log_ - INFO - Doing regression 0.00; 2009-11
2017-02-12 23:41:14,695 - ___log_ - INFO - Doing regression 0.31; 2011-12
2017-02-12 23:41:19,449 - ___log_ - INFO - Doing regression 0.41; 2011-12
2017-02-12 23:41:20,724 - ___log_ - INFO - Doing regression 0.10; 2009-11
2017-02-12 23:41:24,001 - ___log_ - INFO - Doing regression 0.51; 2011-12
2017-02-12 23:41:27,587 - ___log_ - INFO - Doing regression 0.20; 2009-11
2017-02-12 23:41:30,138 - ___log_ - INFO - Doing regression 0.61; 2011-12
2017-02-12 23:41:36,348 - ___log_ - INFO - Doing regression 0.00; 2012-12
2017-02-12 23:41:36,827 - ___log_ - INFO - Doing regression 0.29; 2009-11
2017-02-12 23:41:38,714 - ___log_ - INFO - Doing regression 0.71; 2011-12
2017-02-12 23:41:42,023 - ___log_ - INFO - Doing regression 0.82; 2011-12
2017-02-12 23:41:42,290 - ___log_ - INFO - Doing regression 0.10; 2012-12
2017-02-12 23:41:46,049 - ___log_ - INFO - Doing regression 0.39; 2009-11
2017-02-12 23:41:49,298 - ___log_ - INFO - Doing regression 0.92; 2011-12
2017-02-12 23:41:49,414 - ___log_ - INFO - Doing regression 0.21; 2012-12
2017-02-12 23:41:53,930 - ___log_ - INFO - Doing regression 0.00; 2010-11
2017-02-12 23:41:54,655 - ___log_ - INFO - Start pickling; 2011-12
2017-02-12 23:41:54,925 - ___log_ - INFO - Start handling; /Users/JerryHan88/PycharmProjects/taxi_projects/community_analysis/data/tfZ_TP/tfZ_TP-2011-13.csv
2017-02-12 23:41:54,925 - ___log_ - INFO - Start loading; 2011-13
2017-02-12 23:41:56,623 - ___log_ - INFO - Doing regression 0.31; 2012-12
2017-02-12 23:41:57,374 - ___log_ - INFO - Doing regression 0.49; 2009-11
2017-02-12 23:42:02,415 - ___log_ - INFO - Doing regression 0.09; 2010-11
2017-02-12 23:42:03,686 - ___log_ - INFO - Doing regression 0.42; 2012-12
2017-02-12 23:42:04,440 - ___log_ - INFO - Doing regression 0.59; 2009-11
2017-02-12 23:42:07,894 - ___log_ - INFO - Doing regression 0.52; 2012-12
2017-02-12 23:42:09,616 - ___log_ - INFO - Doing regression 0.19; 2010-11
2017-02-12 23:42:14,722 - ___log_ - INFO - Doing regression 0.62; 2012-12
2017-02-12 23:42:17,644 - ___log_ - INFO - Doing regression 0.69; 2009-11
2017-02-12 23:42:19,114 - ___log_ - INFO - Doing regression 0.28; 2010-11
2017-02-12 23:42:19,143 - ___log_ - INFO - Doing regression 0.73; 2012-12
2017-02-12 23:42:22,770 - ___log_ - INFO - Doing regression 0.00; 2011-13
2017-02-12 23:42:24,252 - ___log_ - INFO - Doing regression 0.78; 2009-11
2017-02-12 23:42:24,673 - ___log_ - INFO - Doing regression 0.37; 2010-11
2017-02-12 23:42:24,759 - ___log_ - INFO - Doing regression 0.83; 2012-12
2017-02-12 23:42:28,503 - ___log_ - INFO - Doing regression 0.10; 2011-13
2017-02-12 23:42:30,005 - ___log_ - INFO - Doing regression 0.94; 2012-12
2017-02-12 23:42:30,417 - ___log_ - INFO - Doing regression 0.47; 2010-11
